20140901,297012600,330327678
20140902,286778324,296133425
20140903,287871527,288525364
20140904,274115238,271093365
20140905,236871560,243699145
20140906,181941254,166730343
20140907,180954973,163421444
20140908,200622891,292783186
20140909,303012383,291066223
20140910,302107678,285881817
20140911,285612014,269198000
20140912,236711243,243402288
20140913,190306895,185422409
20140914,193577262,177316978
20140915,313082668,332328128
20140916,307265543,294227383
20140917,297321403,293175983
20140918,274840449,267848433
20140919,232636425,249825659
20140920,170769101,193480446
20140921,170216735,181364975
20140922,299888996,327819579
20140923,295307063,287351443
20140924,289711932,290174944
20140925,273872400,263997648
20140926,230071986,247893398
20140927,169067302,186169884
20140928,176826721,180553334
20140929,295354076,333205661
20140930,288269165,296399749
