20140901,295016422,331312231
20140902,287304571,298660044
20140903,287551936,287614246
20140904,277280645,274595929
20140905,236262402,242373861
20140906,184563781,167913620
20140907,185123009,164870896
20140908,194792773,295547806
20140909,300369218,287307833
20140910,303372760,284676041
20140911,290057164,272489301
20140912,236084240,242043915
20140913,190781537,183937501
20140914,196087925,175657911
20140915,312875302,333535657
20140916,310072289,296541549
20140917,298053709,292783236
20140918,278086581,270989308
20140919,231555841,249183253
20140920,169068927,192893711
20140921,170127061,180157109
20140922,298212999,328524572
20140923,296782672,288899197
20140924,289597203,289447692
20140925,277010775,266709303
20140926,228705946,247035617
20140927,167177696,184768292
20140928,177472827,179255000
20140929,288322579,327962649
20140930,284227017,293131032
